TCG region,Expansion,Card number,Card number sorting order,Card name,Rarity,Card variant,Card language,Card condition,Note,Quantity
International,Journey Together,064/159,64,N's Sigilyph,Common,Normal,English,Near Mint,,1
International,Journey Together,064/159,64,N's Sigilyph,Common,Normal,English,Near Mint,,2
International,Journey Together,066/159,66,Lillie's Cutiefly,Common,Normal,English,Near Mint,,1
International,Journey Together,067/159,67,Lillie's Ribombee,Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,068/159,68,Lillie's Comfey,Common,Normal,English,Near Mint,,1
International,Journey Together,069/159,69,Mimikyu ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,070/159,70,Dhelmise,Common,Normal,English,Near Mint,,1
International,Journey Together,072/159,72,Morgrem,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,073/159,73,Grimmsnarl,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,073/159,73,Grimmsnarl,Uncommon,Reverse Holo,English,Near Mint,,2
International,Journey Together,074/159,74,Milcery,Common,Normal,English,Near Mint,,1
International,Journey Together,074/159,74,Milcery,Common,Reverse Holo,English,Near Mint,,2
International,Journey Together,078/159,78,Piloswine,Common,Normal,English,Near Mint,,1
International,Journey Together,078/159,78,Piloswine,Common,Normal,English,Near Mint,,1
International,Journey Together,081/159,81,Pupitar,Common,Normal,English,Near Mint,,1
International,Journey Together,082/159,82,Regirock,Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,083/159,83,Pancham,Common,Normal,English,Near Mint,,3
International,Journey Together,083/159,83,Pancham,Common,Normal,English,Near Mint,,2
International,Journey Together,084/159,84,Rockruff,Common,Normal,English,Near Mint,,1
International,Journey Together,084/159,84,Rockruff,Common,Normal,English,Near Mint,,1
International,Journey Together,085/159,85,Lycanroc,Rare,Reverse Holo,English,Near Mint,,1
International,Journey Together,086/159,86,Hop's Silicobra,Common,Normal,English,Near Mint,,3
International,Journey Together,086/159,86,Hop's Silicobra,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,087/159,87,Hop's Sandaconda,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,090/159,90,Klawf,Uncommon,Normal,English,Near Mint,,2
International,Journey Together,091/159,91,Koffing,Common,Normal,English,Near Mint,,2
International,Journey Together,092/159,92,Weezing,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,093/159,93,Paldean Wooper,Common,Normal,English,Near Mint,,1
International,Journey Together,093/159,93,Paldean Wooper,Common,Reverse Holo,English,Near Mint,,2
International,Journey Together,094/159,94,Paldean Clodsire ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,095/159,95,Tyranitar,Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,095/159,95,Tyranitar,Rare,Reverse Holo,English,Near Mint,,1
International,Journey Together,095/159,95,Tyranitar,Rare,Reverse Holo,English,Near Mint,,1
International,Journey Together,096/159,96,N's Purrloin,Common,Normal,English,Near Mint,,2
International,Journey Together,097/159,97,N's Zorua,Common,Normal,English,Near Mint,,2
International,Journey Together,098/159,98,N's Zoroark ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,099/159,99,Pangoro,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,100/159,100,Lokix,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,102/159,102,Escavalier,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,103/159,103,N's Klink,Common,Normal,English,Near Mint,,1
International,Journey Together,107/159,107,Magearna,Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,108/159,108,Hop's Corviknight,Uncommon,Normal,English,Near Mint,,2
International,Journey Together,110/159,110,Copperajah,Uncommon,Reverse Holo,English,Near Mint,,1
International,Journey Together,112/159,112,Bagon,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,113/159,113,Shelgon,Common,Normal,English,Near Mint,,1
International,Journey Together,117/159,117,Hop's Snorlax,Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,122/159,122,Kecleon,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,125/159,125,Minccino,Common,Normal,English,Near Mint,,3
International,Journey Together,132/159,132,Greedent,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,134/159,134,Hop's Corvisquire,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,135/159,135,Hop's Wooloo,Common,Normal,English,Near Mint,,1
International,Journey Together,140/159,140,Oinkologne,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,140/159,140,Oinkologne,Uncommon,Normal,English,Near Mint,,2
International,Journey Together,142/159,142,Billy & O'Nare,Common,Normal,English,Near Mint,,2
International,Journey Together,143/159,143,Black Belt's Training,Common,Normal,English,Near Mint,,1
International,Journey Together,144/159,144,Black Belt's Training,Common,Normal,English,Near Mint,,1
International,Journey Together,146/159,146,Brock's Scouting,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,147/159,147,Hop's Bag,Uncommon,Reverse Holo,English,Near Mint,,1
International,Journey Together,148/159,148,Hop's Choice Band,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,149/159,149,Iris's Fighting Spirit,Uncommon,Reverse Holo,English,Near Mint,,1
International,Journey Together,150/159,150,Levincia,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,150/159,150,Levincia,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,152/159,152,N's Castle,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,154/159,154,Postwick,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,155/159,155,Professor's Research,Common,Normal,English,Near Mint,,1
International,Journey Together,159/159,159,Spiky Energy,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,162/159,162,Wailord,Illustration Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,166/159,166,Lycanroc,Illustration Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,172/159,172,Iono's Bellibolt ex,Ultra Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,173/159,173,Lillie's Clefairy ex,Ultra Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,176/159,176,Hop's Zacian ex,Ultra Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,177/159,177,Salamence ex,Ultra Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,183/159,183,Iono's Bellibolt ex,Special Illustration Rare,Normal Holo,English,Near Mint,,1
International,Prismatic Evolutions,044/131,44,Munkidori,Rare,Normal Holo,English,Near Mint,,1
International,Surging Sparks,003/191,3,Exeggutor,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,007/191,7,Vivillon,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,008/191,8,Morelull,Common,Normal,English,Near Mint,,1
International,Surging Sparks,024/191,24,Larvesta,Common,Reverse Holo,English,Near Mint,,1
International,Surging Sparks,025/191,25,Volcarona,Common,Normal,English,Near Mint,,1
International,Surging Sparks,063/191,63,Zebstrika,Common,Normal,English,Near Mint,,2
International,Surging Sparks,066/191,66,Wattrel,Common,Normal,English,Near Mint,,1
International,Surging Sparks,072/191,72,Togekiss,Rare,Normal Holo,English,Near Mint,,1
International,Surging Sparks,073/191,73,Marill,Common,Normal,English,Near Mint,,1
International,Surging Sparks,074/191,74,Azumarill,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,082/191,82,Yamask,Common,Reverse Holo,English,Near Mint,,1
International,Surging Sparks,084/191,84,Espurr,Common,Normal,English,Near Mint,,1
International,Surging Sparks,084/191,84,Espurr,Common,Normal,English,Near Mint,,1
International,Surging Sparks,094/191,94,Flittle,Common,Reverse Holo,English,Near Mint,,1
International,Surging Sparks,095/191,95,Espathra,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,098/191,98,Mankey,Common,Normal,English,Near Mint,,1
International,Surging Sparks,098/191,98,Mankey,Common,Reverse Holo,English,Near Mint,,1
International,Surging Sparks,109/191,109,Excadrill,Common,Normal,English,Near Mint,,1
International,Surging Sparks,112/191,112,Clobbopus,Common,Reverse Holo,English,Near Mint,,1
International,Surging Sparks,113/191,113,Grapploct,Common,Normal,English,Near Mint,,1
International,Surging Sparks,116/191,116,Koraidon,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,117/191,117,Deino,Common,Normal,English,Near Mint,,1
International,Surging Sparks,122/191,122,Alolan Diglett,Common,Normal,English,Near Mint,,1
International,Surging Sparks,126/191,126,Bronzor,Common,Normal,English,Near Mint,,1
International,Surging Sparks,132/191,132,Iron Crown,Rare,Normal Holo,English,Near Mint,,1
International,Surging Sparks,134/191,134,Altaria,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,154/191,154,Helioptile,Common,Reverse Holo,English,Near Mint,,1
International,Surging Sparks,169/191,169,Counter Gain,Uncommon,Normal,English,Near Mint,,1
International,Surging Sparks,173/191,173,Drasna,Common,Normal,English,Near Mint,,1
International,Surging Sparks,177/191,177,Gravity Mountain,Uncommon,Normal,English,Near Mint,,1
International,Stellar Crown,046/142,46,Electabuzz,Common,Normal,English,Near Mint,,1
International,Stellar Crown,047/142,47,Electivire,Uncommon,Reverse Holo,English,Near Mint,,1
International,Stellar Crown,051/142,51,Galvantula ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Stellar Crown,054/142,54,Togedemaru,Uncommon,Normal,English,Near Mint,,1
International,Stellar Crown,058/142,58,Slowking,Uncommon,Reverse Holo,English,Near Mint,,1
International,Stellar Crown,060/142,60,Drifloon,Common,Normal,English,Near Mint,,1
International,Stellar Crown,062/142,62,Yamask,Common,Normal,English,Near Mint,,1
International,Stellar Crown,063/142,63,Comfey,Common,Normal,English,Near Mint,,2
International,Stellar Crown,071/142,71,Iron Boulder,Rare,Normal Holo,English,Near Mint,,1
International,Stellar Crown,074/142,74,Rhyhorn,Common,Normal,English,Near Mint,,1
International,Stellar Crown,075/142,75,Rhydon,Common,Reverse Holo,English,Near Mint,,1
International,Stellar Crown,081/142,81,Riolu,Common,Normal,English,Near Mint,,1
International,Stellar Crown,086/142,86,Diancie,Uncommon,Normal,English,Near Mint,,2
International,Stellar Crown,086/142,86,Diancie,Uncommon,Reverse Holo,English,Near Mint,,1
International,Stellar Crown,087/142,87,Crabrawler,Common,Normal,English,Near Mint,,1
International,Stellar Crown,088/142,88,Falinks,Common,Normal,English,Near Mint,,2
International,Stellar Crown,095/142,95,Morgrem,Common,Reverse Holo,English,Near Mint,,1
International,Stellar Crown,096/142,96,Grimmsnarl,Rare,Normal Holo,English,Near Mint,,1
International,Stellar Crown,097/142,97,Bombirdier,Common,Normal,English,Near Mint,,1
International,Stellar Crown,153/142,153,Meditite,Illustration Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,001/064,1,Joltik,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,001/064,1,Joltik,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,002/064,2,Galvantula,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,002/064,2,Galvantula,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,003/064,3,Rowlet,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,004/064,4,Dartrix,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,005/064,5,Decidueye,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,005/064,5,Decidueye,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,006/064,6,Tapu Bulu,Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,007/064,7,Houndour,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,008/064,8,Houndoom,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,008/064,8,Houndoom,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,008/064,8,Houndoom,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,009/064,9,Iron Moth,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,010/064,10,Horsea,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,011/064,11,Seadra,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,013/064,13,Sneasel,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,013/064,13,Sneasel,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,014/064,14,Weavile,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,015/064,15,Revavroom ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,016/064,16,Drowzee,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,017/064,17,Hypno,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,018/064,18,Duskull,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,019/064,19,Dusclops,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,020/064,20,Dusknoir,Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,021/064,21,Cresselia,Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,022/064,22,Sylveon,Uncommon,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,023/064,23,Croagunk,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,023/064,23,Croagunk,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,024/064,24,Toxicroak,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,026/064,26,Slither Wing,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,026/064,26,Slither Wing,Uncommon,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,027/064,27,Zubat,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,028/064,28,Golbat,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,029/064,29,Crobat,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,029/064,29,Crobat,Uncommon,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,030/064,30,Absol,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,030/064,30,Absol,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,031/064,31,Zorua,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,032/064,32,Zoroark,Rare,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,033/064,33,Inkay,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,034/064,34,Malamar,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,034/064,34,Malamar,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,035/064,35,Yveltal,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,035/064,35,Yveltal,Uncommon,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,039/064,39,Pecharunt ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,041/064,41,Cufant,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,042/064,42,Copperajah,Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,043/064,43,Varoom,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,044/064,44,Axew,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,045/064,45,Fraxure,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,045/064,45,Fraxure,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,046/064,46,Haxorus,Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,046/064,46,Haxorus,Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,047/064,47,Kyurem,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,047/064,47,Kyurem,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,048/064,48,Meowth,Common,Normal,English,Near Mint,,2
International,Shrouded Fable,048/064,48,Meowth,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,049/064,49,Persian,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,050/064,50,Eevee,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,051/064,51,Furfrou,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,053/064,53,Bewear,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,053/064,53,Bewear,Common,Normal,English,Near Mint,,1
International,Shrouded Fable,053/064,53,Bewear,Common,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,054/064,54,Academy at Night,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,054/064,54,Academy at Night,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,055/064,55,Binding Mochi,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,056/064,56,Cassiopeia,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,057/064,57,Colress's Tenacity,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,057/064,57,Colress's Tenacity,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,059/064,59,Janine's Secret Art,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,061/064,61,Night Stretcher,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,061/064,61,Night Stretcher,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,062/064,62,Poké Vital A,ACE SPEC Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,063/064,63,Powerglass,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,063/064,63,Powerglass,Uncommon,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,064/064,64,Xerosic's Machinations,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,064/064,64,Xerosic's Machinations,Uncommon,Normal,English,Near Mint,,1
International,Shrouded Fable,064/064,64,Xerosic's Machinations,Uncommon,Reverse Holo,English,Near Mint,,1
International,Shrouded Fable,071/064,71,Cresselia,Illustration Rare,Normal Holo,English,Near Mint,,1
International,Shrouded Fable,083/064,83,Munkidori ex,Ultra Rare,Normal Holo,English,Near Mint,,1
International,Twilight Masquerade,066/167,66,Shinx,Common,Reverse Holo,English,Near Mint,,1
International,Twilight Masquerade,070/167,70,Helioptile,Common,Normal,English,Near Mint,,2
International,Twilight Masquerade,075/167,75,Wattrel,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,081/167,81,Kadabra,Common,Reverse Holo,English,Near Mint,,1
International,Twilight Masquerade,083/167,83,Girafarig,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,084/167,84,Farigiraf,Uncommon,Normal,English,Near Mint,,1
International,Twilight Masquerade,087/167,87,Floette,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,091/167,91,Sandygast,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,097/167,97,Sandshrew,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,101/167,101,Nosepass,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,103/167,103,Timburr,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,108/167,108,Glimmet,Common,Normal,English,Near Mint,,1
International,Twilight Masquerade,109/167,109,Glimmora,Uncommon,Normal,English,Near Mint,,1
International,Twilight Masquerade,111/167,111,Okidogi,Rare,Normal Holo,English,Near Mint,,1
International,Twilight Masquerade,118/167,118,Brute Bonnet,Uncommon,Normal,English,Near Mint,,1
International,Twilight Masquerade,131/167,131,Tatsugiri,Uncommon,Normal,English,Near Mint,,2
International,Twilight Masquerade,143/167,143,Bug Catching Set,Uncommon,Normal,English,Near Mint,,2
International,Twilight Masquerade,148/167,148,Enhanced Hammer,Uncommon,Normal,English,Near Mint,,2
International,Twilight Masquerade,155/167,155,Lana's Aid,Uncommon,Normal,English,Near Mint,,2
International,Temporal Forces,055/162,55,Charjabug,Common,Normal,English,Near Mint,,1
International,Temporal Forces,059/162,59,Boltund,Uncommon,Normal,English,Near Mint,,1
International,Temporal Forces,061/162,61,Iron Hands,Uncommon,Normal,English,Near Mint,,1
International,Temporal Forces,068/162,68,Bronzor,Common,Normal,English,Near Mint,,2
International,Temporal Forces,071/162,71,Duosion,Common,Normal,English,Near Mint,,1
International,Temporal Forces,072/162,72,Reuniclus,Uncommon,Normal,English,Near Mint,,1
International,Temporal Forces,074/162,74,Beheeyem,Uncommon,Normal,English,Near Mint,,1
International,Temporal Forces,078/162,78,Flutter Mane,Rare,Normal Holo,English,Near Mint,,1
International,Temporal Forces,090/162,90,Lycanroc,Uncommon,Normal,English,Near Mint,,1
International,Temporal Forces,091/162,91,Mudbray,Common,Normal,English,Near Mint,,2
International,Temporal Forces,092/162,92,Mudsdale,Uncommon,Normal,English,Near Mint,,1
International,Temporal Forces,100/162,100,Ekans,Common,Reverse Holo,English,Near Mint,,1
International,Temporal Forces,101/162,101,Arbok,Common,Normal,English,Near Mint,,1
International,Temporal Forces,102/162,102,Gastly,Common,Normal,English,Near Mint,,2
International,Temporal Forces,103/162,103,Haunter,Common,Normal,English,Near Mint,,1
International,Temporal Forces,105/162,105,Poochyena,Common,Normal,English,Near Mint,,1
International,Temporal Forces,106/162,106,Mightyena,Common,Normal,English,Near Mint,,1
International,Temporal Forces,108/162,108,Farigiraf ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Temporal Forces,109/162,109,Roaring Moon,Rare,Normal Holo,English,Near Mint,,2
International,Temporal Forces,144/162,144,Buddy-Buddy Poffin,Uncommon,Normal,English,Near Mint,,2
International,Temporal Forces,147/162,147,Explorer's Guidance,Uncommon,Normal,English,Near Mint,,2
International,Temporal Forces,159/162,159,Rescue Board,Uncommon,Normal,English,Near Mint,,2
International,Paradox Rift,062/182,62,Blitzle,Common,Normal,English,Near Mint,,1
International,Paradox Rift,062/182,62,Blitzle,Common,Reverse Holo,English,Near Mint,,1
International,Paradox Rift,064/182,64,Joltik,Common,Normal,English,Near Mint,,1
International,Paradox Rift,064/182,64,Joltik,Common,Reverse Holo,English,Near Mint,,1
International,Paradox Rift,071/182,71,Natu,Common,Normal,English,Near Mint,,1
International,Paradox Rift,072/182,72,Xatu,Rare,Normal Holo,English,Near Mint,,1
International,Paradox Rift,078/182,78,Gourgeist,Uncommon,Normal,English,Near Mint,,1
International,Paradox Rift,081/182,81,Espathra,Rare,Normal Holo,English,Near Mint,,1
International,Paradox Rift,091/182,91,Gligar,Common,Normal,English,Near Mint,,1
International,Paradox Rift,094/182,94,Gible,Common,Normal,English,Near Mint,,1
International,Paradox Rift,096/182,96,Mienfoo,Common,Normal,English,Near Mint,,1
International,Paradox Rift,097/182,97,Mienshao,Uncommon,Normal,English,Near Mint,,1
International,Paradox Rift,102/182,102,Nacli,Common,Normal,English,Near Mint,,1
International,Paradox Rift,104/182,104,Garganacl,Rare,Normal Holo,English,Near Mint,,1
International,Paradox Rift,106/182,106,Flamigo,Common,Normal,English,Near Mint,,1
International,Paradox Rift,107/182,107,Slither Wing,Uncommon,Normal,English,Near Mint,,1
International,Paradox Rift,109/182,109,Ting-Lu,Rare,Reverse Holo,English,Near Mint,,1
International,Paradox Rift,110/182,110,Zubat,Common,Normal,English,Near Mint,,1
International,Paradox Rift,114/182,114,Purrloin,Common,Normal,English,Near Mint,,1
International,Paradox Rift,119/182,119,Nickit,Common,Normal,English,Near Mint,,1
International,Paradox Rift,120/182,120,Thievul,Rare,Reverse Holo,English,Near Mint,,1
International,Paradox Rift,123/182,123,Brute Bonnet,Rare,Normal Holo,English,Near Mint,,1
International,Paradox Rift,159/182,159,Ancient Booster Energy Capsule,Uncommon,Normal,English,Near Mint,,1
International,Paradox Rift,160/182,160,Counter Catcher,Uncommon,Normal,English,Near Mint,,2
International,Paradox Rift,163/182,163,Earthen Vessel,Uncommon,Normal,English,Near Mint,,2
International,Paradox Rift,164/182,164,Future Booster Energy Capsule,Uncommon,Normal,English,Near Mint,,1
International,Paradox Rift,170/182,170,Professor Sada's Vitality,Uncommon,Normal,English,Near Mint,,2
International,Paradox Rift,171/182,171,Professor Turo's Scenario,Uncommon,Normal,English,Near Mint,,2
International,Paradox Rift,178/182,178,Technical Machine: Evolution,Uncommon,Normal,English,Near Mint,,2
International,Paradox Rift,180/182,180,Techno Radar,Uncommon,Normal,English,Near Mint,,2
International,Scarlet & Violet 151,132/165,132,Ditto,Rare,Non-holo,English,Near Mint,,2
International,Obsidian Flames,067/197,67,Tynamo,Common,Normal,English,Near Mint,,1
International,Obsidian Flames,075/197,75,Tadbulb,Common,Normal,English,Near Mint,,1
International,Obsidian Flames,087/197,87,Snubbull,Common,Reverse Holo,English,Near Mint,,1
International,Obsidian Flames,092/197,92,Lunatone,Uncommon,Normal,English,Near Mint,,1
International,Obsidian Flames,095/197,95,Claydol,Rare,Normal Holo,English,Near Mint,,1
International,Obsidian Flames,100/197,100,Greavard,Common,Normal,English,Near Mint,,1
International,Obsidian Flames,100/197,100,Greavard,Common,Reverse Holo,English,Near Mint,,1
International,Obsidian Flames,107/197,107,Nosepass,Common,Reverse Holo,English,Near Mint,,1
International,Obsidian Flames,108/197,108,Barboach,Common,Normal,English,Near Mint,,1
